Group,Spread MAE,Spread Rank,Total MAE,Total Rank,OREB MAE,OREB Rank
1,13.3894785,13,19.21573359,17,5.147709346,17
2,12.85612761,10,15.29426316,2,5.101729805,14
3,13.39097157,14,15.18973197,1,4.738623996,2
4,13.48017726,15,15.57499071,7,4.661420902,1
5,12.70175439,8,15.5166936,6,4.740877306,3
6,12.37508772,3,15.83333333,9,5.035087719,12
7,12.64568887,6,16.41578947,12,5.135789474,15
8,16.00626936,18,17.4271193,15,4.746586745,4
9,14.09166732,16,16.91991825,13,4.997555848,10
10,12.84277193,9,27.21307957,18,4.845707808,8
11,15.15789474,17,16.41497461,11,5.142147237,16
12,12.31578947,2,17.14245614,14,4.802118421,6
13,13.33495489,12,17.63157895,16,6.157894737,18
14,12.21395285,1,15.36842105,4,4.807017544,7
15,12.63157895,5,15.43851221,5,4.794080357,5
16,12.64623998,7,16.07592088,10,5.015664345,11
17,12.47432836,4,15.77192982,8,4.964912281,9
18,13.22983567,11,15.32609649,3,5.058698246,13
