"Date","Home","Visitor","Actual","1","2","3","4","5","6","7","8","9"
"11/16/2019","Clemson","Wake Forest",55,48.5,66.11886,59.03188441,62,78,76,81,77,78.76416
"11/16/2019","Duke","Syracuse",55,46.5,52.34371,61.56463951,55,55,48,48,50,52.3326
"11/16/2019","Florida State","Alabama State",61,38.5,60.27897,55.75943449,48,51,43,48,48,58.2498
"11/16/2019","Georgia Tech","Virginia Tech",45,42.5,51.76953,60.8222698,52,56,51,43,54,40.52592
"11/16/2019","NC State","Louisville",54,49.5,59.20034,58.49095626,58,59,44,49,71,56.61492
"11/21/2019","Georgia Tech","NC State",54,40.5,47.22548,59.39708159,48,53,37,38,39,34.11596
"11/23/2019","Notre Dame","Boston College",47,52,60.89883,57.29345522,61,65,71,61,80,69.3413
"11/23/2019","FIU","Miami",54,34,54.15702,59.61414692,55,54,31,50,51,56.61021
"11/23/2019","Wake Forest","Duke",66,45.5,61.681,56.7989173,62,57,56,56,89,65.37735
"11/23/2019","Louisville","Syracuse",90,56.5,58.57641,62.07916351,65,55,54,51,50,52.63245
"11/23/2019","North Carolina","Mercer",63,43.5,60.5589,58.01409668,48,56,34,50,40,58.08295
"11/23/2019","Virginia Tech","Pittsburgh",28,41.5,50.55505,55.50512252,55,46,43,45,44,53.16244
"11/23/2019","Virginia","Liberty",82,50,62.15228,57.40889596,48,60,60,58,49,55.37087
"11/29/2019","Virginia","Virginia Tech",69,45,56.41561,60.49835316,55,60,68,53,65,53.57416
"11/30/2019","Pittsburgh","Boston College",45,46,56.68173,62.40138395,55,48,43,48,50,50.40513
"11/30/2019","South Carolina","Clemson",41,46.5,59.47038,61.20205195,52,69,60,66,57,69.92147
"11/30/2019","Duke","Miami",44,43.5,53.65964,59.34950312,55,50,44,53,54,58.69533
"11/30/2019","Florida","Florida State",57,46.5,59.40541,61.68575532,55,49,43,58,50,61.29462
"11/30/2019","Georgia Tech","Georgia",59,43.5,49.87736,60.57515875,51,56,54,46,52,46.32622
"11/30/2019","Kentucky","Louisville",58,54,56.81684,57.94064363,63,52,53,48,76,47.18329
"11/30/2019","NC State","North Carolina",51,35.5,55.80225,58.85978814,55,61,37,47,55,52.43968
"11/30/2019","Syracuse","Wake Forest",69,52,57.64541,59.09406143,65,77,50,58,66,62.01781
